,START,Direct Traffic,Display Ads,Email,Referral,Search Ads,Social Media,CONVERSION,NULL
START,0.0,0.17175974710221287,0.17281348788198103,0.15806111696522657,0.17070600632244468,0.16192483315770986,0.164734808570425,0.0,0.0
Direct Traffic,0.0,0.12667054038349795,0.11563044741429401,0.11737361998837885,0.10923881464264962,0.11969785008715862,0.11446833236490413,0.24694944799535154,0.04997094712376525
Display Ads,0.0,0.11503894547633313,0.1318154583582984,0.12402636309167166,0.12402636309167166,0.11503894547633313,0.10964649490713002,0.2402636309167166,0.040143798681845415
Email,0.0,0.11789600967351874,0.11487303506650544,0.1185006045949214,0.11608222490931076,0.12817412333736397,0.11729141475211609,0.23760580411124546,0.049576783555018135
Referral,0.0,0.1311572700296736,0.12700296735905045,0.11513353115727003,0.11216617210682493,0.11394658753709198,0.13056379821958458,0.22789317507418397,0.042136498516320474
Search Ads,0.0,0.12492231199502797,0.10441267868241144,0.12243629583592293,0.12678682411435674,0.1019266625233064,0.12119328775637042,0.24549409571162212,0.052827843380981974
Social Media,0.0,0.1233453670276775,0.11191335740072202,0.12515042117930206,0.13176895306859207,0.1095066185318893,0.12274368231046931,0.23044524669073405,0.04512635379061372
CONVERSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
